datetime,price,moving_average,raw_signal,weighted_signal,normalized_signal,current_num_factors,current_normalization_factor,current_multiplier
2025-01-05 02:03:51.158,98118.75309342929,,,,,41.0,0.0,5.1000000000000005
2025-01-05 03:03:45.049,98209.76129204805,,,,,41.0,0.0,5.1000000000000005
2025-01-05 04:03:39.688,98166.25388666027,,,,,41.0,0.0,5.1000000000000005
2025-01-05 05:03:36.996,98328.29404861871,,,,,41.0,0.0,5.1000000000000005
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,518.2415084374284,inf,41.0,0.0,5.1000000000000005
2025-01-05 02:03:51.158,98118.75309342929,,,,,42.0,0.0,5.2
2025-01-05 03:03:45.049,98209.76129204805,,,,,42.0,0.0,5.2
2025-01-05 04:03:39.688,98166.25388666027,,,,,42.0,0.0,5.2
2025-01-05 05:03:36.996,98328.29404861871,,,,,42.0,0.0,5.2
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,528.4031066420838,inf,42.0,0.0,5.2
2025-01-05 02:03:51.158,98118.75309342929,,,,,43.0,0.0,5.3
2025-01-05 03:03:45.049,98209.76129204805,,,,,43.0,0.0,5.3
2025-01-05 04:03:39.688,98166.25388666027,,,,,43.0,0.0,5.3
2025-01-05 05:03:36.996,98328.29404861871,,,,,43.0,0.0,5.3
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,538.5647048467391,inf,43.0,0.0,5.3
2025-01-05 02:03:51.158,98118.75309342929,,,,,44.0,0.0,5.4
2025-01-05 03:03:45.049,98209.76129204805,,,,,44.0,0.0,5.4
2025-01-05 04:03:39.688,98166.25388666027,,,,,44.0,0.0,5.4
2025-01-05 05:03:36.996,98328.29404861871,,,,,44.0,0.0,5.4
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,548.7263030513947,inf,44.0,0.0,5.4
2025-01-05 02:03:51.158,98118.75309342929,,,,,45.0,0.0,5.5
2025-01-05 03:03:45.049,98209.76129204805,,,,,45.0,0.0,5.5
2025-01-05 04:03:39.688,98166.25388666027,,,,,45.0,0.0,5.5
2025-01-05 05:03:36.996,98328.29404861871,,,,,45.0,0.0,5.5
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,558.8879012560501,inf,45.0,0.0,5.5
2025-01-05 02:03:51.158,98118.75309342929,,,,,46.0,0.0,5.6000000000000005
2025-01-05 03:03:45.049,98209.76129204805,,,,,46.0,0.0,5.6000000000000005
2025-01-05 04:03:39.688,98166.25388666027,,,,,46.0,0.0,5.6000000000000005
2025-01-05 05:03:36.996,98328.29404861871,,,,,46.0,0.0,5.6000000000000005
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,569.0494994607056,inf,46.0,0.0,5.6000000000000005
2025-01-05 02:03:51.158,98118.75309342929,,,,,47.0,0.0,5.7
2025-01-05 03:03:45.049,98209.76129204805,,,,,47.0,0.0,5.7
2025-01-05 04:03:39.688,98166.25388666027,,,,,47.0,0.0,5.7
2025-01-05 05:03:36.996,98328.29404861871,,,,,47.0,0.0,5.7
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,579.2110976653611,inf,47.0,0.0,5.7
2025-01-05 02:03:51.158,98118.75309342929,,,,,48.0,0.0,5.800000000000001
2025-01-05 03:03:45.049,98209.76129204805,,,,,48.0,0.0,5.800000000000001
2025-01-05 04:03:39.688,98166.25388666027,,,,,48.0,0.0,5.800000000000001
2025-01-05 05:03:36.996,98328.29404861871,,,,,48.0,0.0,5.800000000000001
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,589.3726958700165,inf,48.0,0.0,5.800000000000001
2025-01-05 02:03:51.158,98118.75309342929,,,,,49.0,0.0,5.9
2025-01-05 03:03:45.049,98209.76129204805,,,,,49.0,0.0,5.9
2025-01-05 04:03:39.688,98166.25388666027,,,,,49.0,0.0,5.9
2025-01-05 05:03:36.996,98328.29404861871,,,,,49.0,0.0,5.9
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,599.534294074672,inf,49.0,0.0,5.9
2025-01-05 02:03:51.158,98118.75309342929,,,,,50.0,0.0,6.0
2025-01-05 03:03:45.049,98209.76129204805,,,,,50.0,0.0,6.0
2025-01-05 04:03:39.688,98166.25388666027,,,,,50.0,0.0,6.0
2025-01-05 05:03:36.996,98328.29404861871,,,,,50.0,0.0,6.0
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,609.6958922793274,inf,50.0,0.0,6.0
2025-01-05 02:03:51.158,98118.75309342929,,,,,51.0,0.0,6.1000000000000005
2025-01-05 03:03:45.049,98209.76129204805,,,,,51.0,0.0,6.1000000000000005
2025-01-05 04:03:39.688,98166.25388666027,,,,,51.0,0.0,6.1000000000000005
2025-01-05 05:03:36.996,98328.29404861871,,,,,51.0,0.0,6.1000000000000005
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,619.8574904839829,inf,51.0,0.0,6.1000000000000005
2025-01-05 02:03:51.158,98118.75309342929,,,,,52.0,0.0,6.2
2025-01-05 03:03:45.049,98209.76129204805,,,,,52.0,0.0,6.2
2025-01-05 04:03:39.688,98166.25388666027,,,,,52.0,0.0,6.2
2025-01-05 05:03:36.996,98328.29404861871,,,,,52.0,0.0,6.2
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,630.0190886886384,inf,52.0,0.0,6.2
2025-01-05 02:03:51.158,98118.75309342929,,,,,53.0,0.0,6.300000000000001
2025-01-05 03:03:45.049,98209.76129204805,,,,,53.0,0.0,6.300000000000001
2025-01-05 04:03:39.688,98166.25388666027,,,,,53.0,0.0,6.300000000000001
2025-01-05 05:03:36.996,98328.29404861871,,,,,53.0,0.0,6.300000000000001
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,640.1806868932938,inf,53.0,0.0,6.300000000000001
2025-01-05 02:03:51.158,98118.75309342929,,,,,54.0,0.0,6.4
2025-01-05 03:03:45.049,98209.76129204805,,,,,54.0,0.0,6.4
2025-01-05 04:03:39.688,98166.25388666027,,,,,54.0,0.0,6.4
2025-01-05 05:03:36.996,98328.29404861871,,,,,54.0,0.0,6.4
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,650.3422850979492,inf,54.0,0.0,6.4
2025-01-05 02:03:51.158,98118.75309342929,,,,,55.0,0.0,6.5
2025-01-05 03:03:45.049,98209.76129204805,,,,,55.0,0.0,6.5
2025-01-05 04:03:39.688,98166.25388666027,,,,,55.0,0.0,6.5
2025-01-05 05:03:36.996,98328.29404861871,,,,,55.0,0.0,6.5
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,660.5038833026047,inf,55.0,0.0,6.5
2025-01-05 02:03:51.158,98118.75309342929,,,,,56.0,0.0,6.6000000000000005
2025-01-05 03:03:45.049,98209.76129204805,,,,,56.0,0.0,6.6000000000000005
2025-01-05 04:03:39.688,98166.25388666027,,,,,56.0,0.0,6.6000000000000005
2025-01-05 05:03:36.996,98328.29404861871,,,,,56.0,0.0,6.6000000000000005
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,670.6654815072602,inf,56.0,0.0,6.6000000000000005
2025-01-05 02:03:51.158,98118.75309342929,,,,,57.0,0.0,6.7
2025-01-05 03:03:45.049,98209.76129204805,,,,,57.0,0.0,6.7
2025-01-05 04:03:39.688,98166.25388666027,,,,,57.0,0.0,6.7
2025-01-05 05:03:36.996,98328.29404861871,,,,,57.0,0.0,6.7
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,680.8270797119156,inf,57.0,0.0,6.7
2025-01-05 02:03:51.158,98118.75309342929,,,,,58.0,0.0,6.800000000000001
2025-01-05 03:03:45.049,98209.76129204805,,,,,58.0,0.0,6.800000000000001
2025-01-05 04:03:39.688,98166.25388666027,,,,,58.0,0.0,6.800000000000001
2025-01-05 05:03:36.996,98328.29404861871,,,,,58.0,0.0,6.800000000000001
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,690.9886779165711,inf,58.0,0.0,6.800000000000001
2025-01-05 02:03:51.158,98118.75309342929,,,,,59.0,0.0,6.9
2025-01-05 03:03:45.049,98209.76129204805,,,,,59.0,0.0,6.9
2025-01-05 04:03:39.688,98166.25388666027,,,,,59.0,0.0,6.9
2025-01-05 05:03:36.996,98328.29404861871,,,,,59.0,0.0,6.9
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,701.1502761212265,inf,59.0,0.0,6.9
2025-01-05 02:03:51.158,98118.75309342929,,,,,60.0,0.0,7.0
2025-01-05 03:03:45.049,98209.76129204805,,,,,60.0,0.0,7.0
2025-01-05 04:03:39.688,98166.25388666027,,,,,60.0,0.0,7.0
2025-01-05 05:03:36.996,98328.29404861871,,,,,60.0,0.0,7.0
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,711.311874325882,inf,60.0,0.0,7.0
2025-01-05 02:03:51.158,98118.75309342929,,,,,61.0,0.0,7.1000000000000005
2025-01-05 03:03:45.049,98209.76129204805,,,,,61.0,0.0,7.1000000000000005
